CD_FILIAL;NOME_FILIAL;BPLFrName;ENDERECO;AddressFr;UserSign2;UpdateDate;DflWhs;DflTaxCode;CNPJ;INSCRICAO_MUNICIPAL;PrefState;ENDEREÇO_1;ENDEREÇO_2;ENDEREÇO_3;ENDEREÇO_4;CEP;REGIÃO;CIDADE;ESTADO;County;PAÍS;NOME;DfltResWhs;U_Matriz;U_MatrizGrupo;U_SKILL_CNPJSCP;U_VF_Medicao;InscricaoEstadual;Situacao
10;V.F. GOMES LOCACOES DE MAQUINAS E VEICULOS LTDA-FILIAL MT;;"RUADAS NOGUEIRAS,97 78.550-240-SINOP-MT BRASIL";;17;08/05/2025 00:00;EN09;1113;43.687.443/0002-96;14.063.731-1;MT;Rua;DAS NOGUEIRAS;97;;78.550-240;Setor Comercial;Sinop;MT;2403;BR;V.F. GOMES LOCACOES FILIAL MT;EN09;N;8;;N;14.063.731-1;Ativa
63;MOBILIDADE ZERO CARBONO - LOCADORA DE VEICULOS ELETRICOS LTDA - FILIAL SP;;"RUAAUGUSTA,101 01.305-000-SÃO PAULO-SP BRASIL";;17;01/05/2025 00:00;EN64;1101;51.423.290/0003-89;;;Rua;AUGUSTA;101;SALA 1018 ANDAR 10;01.305-000;CONSOLACAO;SÃO PAULO;SP;5344;BR;MOBILIZE-C;EN64;N;55;;N;Isento;Baixado
82;FRONTEIRA DISTRIBUIDORA DE ASFALTO LTDA FILIAL RO;;"RUAABUNA,3412 78.820-862-PORTO VELHO-RO BRASIL";;146;09/01/2026 00:00;EN83;305;57.228.585/0003-80;00000007488335;RO;Rua;ABUNA;3412;SALA 003;78.820-862;ABUNA;Porto Velho;RO;3884;BR;FRONTEIRA DISTRIBUIDORA DE ALFALTO FILIAL RO;EN83;N;;;N;7488335;Ativo
61;LAVANDERIA SUPREME ENERGIZE-C LTDA;;"RUADAS NOGUEIRAS,97 78.550-240-SINOP-MT BRASIL";;17;09/05/2025 00:00;EN62;1284;52.968.767/0001-02;;;Rua;DAS NOGUEIRAS;97;;78.550-240;Setor Comercial;Sinop;MT;2403;BR;SUPREME ENERGIZE-C;EN62;S;;;N;Isento;Baixado
62;V. F. GOMES AGROPECUARIA LTDA - FILIAL SP;;"RUAAUGUSTA,101 01.305-000-SÃO PAULO-SP BRASIL";;54;29/09/2025 00:00;EN63;76;45.061.767/0002-40;135.409.713.112;SP;Rua;AUGUSTA;101;;01.305-000;CONSOLACAO;SÃO PAULO;SP;5344;BR;V. F. GOMES AGROPECUARIA LTDA - FILIAL SP;EN63;N;9;;N;135.409.713.112;Ativo
59;MOBILIDADE ZERO CARBONO - LOCADORA DE VEICULOS ELETRICOS LTDA-FILIAL DF;;"QUADRACL 116 NORTE BL E,S/N 70.773-590-BRASILIA-DF BRASIL";;17;01/05/2025 00:00;EN60;1101;51.423.290/0002-06;;;QUADRA;CL 116 NORTE BL E;S/N;BLOCO I N 33 SALA 207 PARTE N 105;70.773-590;BRASILIA;BRASILIA;DF;803;BR;MOBILIZE-C;EN60;N;55;;N;Isento;Ativo
54;V. F. GOMES CONSTRUTORA LTDA - FILIAL SP;;"RUAAUGUSTA,101 01.305-000-SAO PAULO-SP BRASIL";;17;04/05/2025 00:00;EN53;601;13.495.966/0007-84;138.821.971.117;SP;Rua;AUGUSTA;101;ANDAR 10 SALA 1017;01.305-000;CONSOLACAO;SAO PAULO;SP;5344;BR;V. F. GOMES CONSTRUTORA - FILIAL SP;EN53;N;1;;N;138.821.971.117;Ativo
60;V. F. GOMES CONSTRUTORA LTDA - FILIAL MS;;"RUAPIRAPUTANGA,349 79.045-110-CAMPO GRANDE-MS BRASIL";;17;04/05/2025 00:00;EN61;601;13.495.966/0008-65;28.499.439-1;MS;Rua;PIRAPUTANGA;349;QUADRA10 LOTE 05;79.045-110;JARDIM NOROESTE;CAMPO GRANDE;MS;2217;BR;V. F. GOMES CONSTRUTORA - FILIAL MS;EN61;N;1;;N;28.499.439-1;Ativo
2;Principal;;;;17;23/09/2024 00:00;;;;;;;;;;;;;;;;;;N;;;N;;
68;FRONTEIRA DISTRIBUIDORA DE ASFALTO LTDA;;"RODBR 163,SN 68190000-ITAITUBA-PA BRASIL";;54;19/08/2025 00:00;EN69;305;57.228.585/0001-19;159941008;PA;ROD;BR 163;SN;"km:30;lote:gleba 07";68190000;Campo Verde;Itaituba;PA;2474;BR;FRONTEIRA DISTRIBUIDORA DE ASFALTO;EN69;S;;;N;15.994.100-8;Ativo
13;ENERGIA ZERO CARBONO - USINAS FOTOVOLTAICAS LTDA;;"AVGOVERNADOR JAIME CAMPOS,SN 78.295-000-Indiavaí-MT BRASIL";;54;30/09/2025 00:00;EN12;1120;48.341.669/0001-73;Isento;;AV;GOVERNADOR JAIME CAMPOS;SN;;78.295-000;Centro;Indiavaí;MT;2325;BR;ENERGIZE-C;EN12;S;;;N;Isento;Ativo
